,context,V.+
63,先別急著續約中華499我相 信台哥大與遠傳肯定會對價格出奇招! ,急/VH 續約/VA 肯定/VK 出/VC
64,遠傳卡好幾個月了,
65,"但必須每6個月儲值1 00才能保留續用,而且出國還沒辦法漫游",保留/VC 續用/VC 出國/VA 沒辦法/VI 漫游/VA
66,不限速的4G都做不到,限速/VJ 做/VC 到/VC
67,永遠都不會達到標準值，當初4G也是這樣吹牛B ,達到/VJ 這樣/VH 吹牛/VA
68,"中華電信山區訊號一定收的到是誰傳的謠言?2g訊號嗎? 早就廢除了,不用神話中華電信了! ",收/VC 到/VCL 傳/VD 廢除/VC
69,只有遠傳，才有距離！ ,遠傳/VD 有/V_2
70,競標是市場機制，收費就變成不是了。還是亞太聰明，專攻通話，4G上網就好,競標/VC 收費/VD 變成/VG 不/VH 聰明/VH 專攻/VC 通話/VB 上網/VA 好/VH
71,推遠傳，中華 其他跟屎一樣 ,推/VC 一樣/VH
72,每次都感應不到哈哈 車長最後都直 (接想說我算了) 接想說我算了 ,感應/VC 直/VH 接/VC 想/VE 說/VE 算了/VH 想/VE 說/VE 算了/VH
73,菁英版升級10之後感覺問題好多，700mh z似乎也被鎖起來了...除了台星跟中華沒影響之外其他電信都很大,升級/VH 感覺/VK 鎖/VB 影響/VC 大/VH
74,七堵泰安區訊號很差還好有中華電信的網路分享 ,差/VH 有/V_2 分享/VJ
75,我天天看著她對手機咆哮,看/VC 咆哮/VA
76,看臉書卡.LINE也卡.看Youtube更卡.反應也沒效果,看/VC 卡/VC 看/VC 卡/VC 沒/VJ
77,不到2 秒就載入完成。雖然沒有算的那麼精準啦🤣不過真的有感提升！,不/VJ 載入/VC 完成/VC 算/VE 精準/VH 有感/VK 提升/VC
78,眾網友表示︰山腳下找找看？ ,表示/VE 找找/VC
79, 眾網友表示︰山腳下找找看？ ,表示/VE 找找/VC
80,如意卡門號辦了十幾年。好康完全用不到。 ,辦/VC 好康/VH 用/VC 到/VC
81,中華跟台星組合可說我常去山區運動沒遇到沒收迅的 ,說/VE 去/VCL 遇到/VC 收迅/VC
82,中華配上台星不怕遇到沒收迅 ,配上/VC 怕/VK 遇到/VC 沒收/VC
83,選擇遠傳下場就是『只有遠傳沒有訊號』！ ,選擇/VC 沒有/VJ
84,修得快好過沒修 ,修/VC 快/VH 好過/VH 修/VC
85,盤子軍團,
86,中華除非辦愛鳳不然真的很盤,辦/VC 愛鳳/VL
87,台哥跟中華我覺得有用心在用啦，其他家...不知道 ,覺得/VK 有/V_2 用心/VH 用/VC 知道/VK
88,469限速吃到飽就滿夠用了 ,吃/VC 飽/VH 滿/VH 夠/VH 用/VC
89,以前爆幹快但最近有點慢,爆/VA 幹/VC 快/VH 慢/VH
90,帶你龜速上山下海,帶/VC 龜速/VH 上山/VA 下海/VA
91,都市之中.台灣之星已足以擺平矣!! ,足以/VL 擺平/VC
92,哪裡平均不錯?可以告訴我嗎?,平均/VH 不錯/VH 告訴/VE
93,一向給人感覺良好，，就是沒什麼優惠促銷活動。。。 ,給/VD 良好/VH 沒/VJ 優惠/VJ 促銷/VC
94, 他還嘴我的手機要換的，--馬的--,還嘴/VA 換/VC
95,同時，旁邊的一位年輕人 一坐下就直接說：「我在網路上看到你們488的方案，你們有首年-50跟專員推薦嗎？」接著就是專員的打太極，表明沒有之後他就 離開了，大概去下一間跑大地吧xd旁邊的男經理看他一出去馬上就跟專員小姐說：「阿你在網路上看到388你不會在網路上辦喔？」 老實說還有其他客人在的情況下講這麼大聲我覺得觀感挺不好的，畢竟那個年輕人態度也沒有很差。,坐下/VA 直接/VH 說/VE 看到/VE 有/V_2 推薦/VC 打/VC 表明/VE 沒有/VJ 離開/VC 跑/VA 看/VC 出去/VA 說/VE 看到/VE 辦/VC 有/V_2 在/VCL 講/VE 大聲/VH 覺得/VK 好/VH 差/VH
96,中華很順 ,順/VH
97,還是中華電信好，，大廠牌有保障，，不像遠傳,好/VH 大/VH 有/V_2
98,"要上網就是中華,",上網/VA
99,結果中華客服的回覆是︰有請工程師去檢測附近訊號，訊號正常。然後就沒下落了。 ,回覆/VD 請/VF 檢測/VE 正常/VH 沒/VJ
100,你覺得亞太的全速能跟中華的全速比,覺得/VK 全速/VH 全速/VH
101,如果市話打很多的話，可以加 辦市話好便宜，月租99元，市話每3分鐘1.3元,打/VC 加/VC 辦/VC 便宜/VH
102,我要謹記4G教訓不付5G的錢然後連2G都收不到。中華遠傳跟台哥大都一樣更不用講一堆什麼亞太之類的。,謹記/VJ 付/VD 連/VJ 收/VC 到/VCL 一樣/VH 講/VE
103,網路真的掛了，好在我還有台星,掛/VC 有/V_2
104,亞太11啊,
105,亞太11,
106,亞太加購$30那個,加購/VC
107,預付卡去台哥大,去/VCL
108,選擇中華預付卡，也是著 眼於收訊，以及網内用户多。,選擇/VC 著/VC  眼/VC 收訊/VA 多/VH
109,中華很貝戈戈的地方：都吃到飽了誰還會用WIFI…,貝戈戈/VH 吃/VC 飽/VH 用/VC
110,"聽說遠傳跟台 灣大哥大山區還是遠遜中華,",聽說/VE 遜/VH
111,下次看到一定通知刁民們一起去拆掉！中華、遠傳，蓋一座拆一座,看到/VE 通知/VC 拆掉/VC 蓋/VC 拆/VC
112,在台中，遠傳超過100mbps的地點也就市中心而已，哪裡容易,超過/VJ 容易/VH
113,在 iPadOS 寫 video app 但不支援 airplay + apple tv 是否很難？因為 Hami Video 做到啦~😬,寫/VC 支援/VC 難/VH 做到/VE
114,台哥大正在穩定下滑中,穩定/VHC 下滑/VA
115,好多了,好/VH
116,爛 只想用人家建設好的 不想花錢 種花好多了,爛 /VH 想/VE 建設/VC 好/VH 想/VE 花錢/VA 種花/VA 好/VH
117,我中華電信也是 晚上就慢,慢/VH
118,家中或室內上網還是以固網品質最為穩定，所以我是家裡用光世代，外出才用中華行動上網,上網/VA 穩定/VHC 用/VC 外出/VA 上網/VA
119,同一支手機在萬華家跟樹林公司訊號，比之前的台哥大好很多，家 裡的亞太都比台哥大好，在家台灣之星也不好。,好/VH 好/VH 好/VH
120,但如果中華電信收訊差，其他電訊也不會好到哪裡，總之使用體 驗還是不錯的。,收訊/VC 差/VH 好/VH 驗/VC 不錯/VH
121,中華最近間歇性斷網有感+1,斷網/VH 有感/VK
122,我OK，你先辦~~ 5G暫時沒鳥用，只有嘗鮮的人炫耀用的,辦/VC 沒/VJ 用/VC 嘗/VC 鮮/VH 炫耀/VE 用/VC
123,……都一樣價錢的話 看也知道選中華,一樣/VH 看/VC 知道/VK 選/VC
124,之前用FOX+到決賽都卡死 希望限中華後好點,卡死/VC 希望/VK 限/VJ
125,都是陰謀啦! 當中華調高資費時其他電信一起跟進，等中華賺飽了，又降資費跟同行廝殺，在哪裡喊沒賺錢，根本就是他賺最多,調高/VC 跟進/VA 賺飽/VC 降/VC 廝殺/VA 喊/VE 賺錢/VA 賺/VC 最多/VH
126,誰敢辦台星我一個一個抓出來,敢/VL 辦/VC 抓出來/VB
127,台哥大捷運沒有+1，種花好一些,沒有/VJ 種花/VA 好/VH
128,種花最近感覺滿種花的耶,種花/VA 感覺/VK 種/VA
129,種花感覺好兩極,種花/VA 好/VH
130,我家手機一個中華一個遠傳，都還是超慢= =,遠傳/VH
131,用過台灣跟遠傳就會知道中華有多好,用/VC 知道/VK 有/V_2 好/VH
132,要求網速可以換遠傳 想撿便宜可以續約台哥,要求/VF 換/VC 想/VE 撿便宜/VA 續約/VA
133,亞太真的值得499月費嗎，基地台建的不多，感覺168不限速也太貴，要辦499感覺中華比較值得，遠傳辦211就夠了,值得/VH 建/VC 多/VH 感覺/VK 限速/VA 貴/VH 辦/VC 感覺/VK 值得/VH 辦/VC 夠/VH
134,這個看起來倒像488的升級版，還有購機折價，感 覺挺划算的。,像/VG 有/V_2 購機/VA 折價/VJ 感 /VK 覺/VK 划算/VH
135,在福澳港及介壽村等人多密集區，台星上網及打電話都是很順暢的。除非到一般南竿比較偏僻的地方，才會有收 訊不良情況發生,多/VH 上網/VA 打電話/VB 順暢/VH 到/VCL 偏僻/VH 有/V_2 收/VC 不良/VH 發生/VJ
136,台哥設備用的比遠傳差,用/VC 差/VH
137,但是台哥大既沒有中華廣泛的基地台，也沒有兩小電信的高CP值，遠傳至少還有LM 可以在雙11出來應戰,沒有/VJ 廣泛/VH 沒有/VJ 小/VH 高/VH 有/V_2 出來/VA 應戰/VA
138,至於遠傳跟台哥大......從2014年進4G時代起就從來沒用過了==收訊沒中華好，促案沒二小殺,進/VC 用/VC 收訊/VA 沒/VJ 好/VH 沒/VJ 小/VH 殺/VC
139,網路品質來說中華>遠傳>Others,說/VE
140,以資費 來說亞太>台星>Others,說/VE
141,整體平衡我會首選中華再不然撿便宜也是台星台哥就不上不下沒有便宜也沒有品質，整個很糟糕,平衡/VHC 撿便宜/VA 不上不下/VH 沒有/VJ 便宜/VH 沒有/VJ 糟糕/VH
142,可惜話術太差 輸台哥大好幾年 高階機分潤越來越差 中華都不主打哀鳳了,可惜/VH 差/VH 輸/VD 差/VH 主打/VC
143,中華電信的店員用服務贏了一個用戶,服務/VC 贏/VD
144,中華穩定，但是貴,穩定/VHC 貴/VH
145,之前用過台灣之星4G，到期立馬換回中華,用/VC 到期/VH 換回/VC
146,約一到 一定要換中華電信,換/VC
147,之前中華有時候會收不到，現在遠傳還算穩定,收/VC 到/VC 算/VG 穩定/VHC
148,用中華，打遊戲看影片都很順暢!,打遊戲/VA 看/VC 順暢/VH
149,3GB以內用量 亞太11都很適合 而且他的流 量包沒用完還可以延遞一次 如果你真的要選亞太99而那你不如NP台哥大新朋友,適合/VH 用完/VC 延遞/VD 選/VC 不如/VJ 新/VH
150,亞太這時間點不是 11 就是 88 吧，怎麼會考慮 99,考慮/VE
151,補上一堆新號碼可選，啊～手好癢！哈～,補上/VC 新/VH 選/VC 癢/VH
152,台星的可以 其他的就算了,算/VH
153,只選市區台星188&88，郊區LM111,選/VC
154,台星188不限速，人口稠密的市區CA後下行只有37M... 我覺得台星不限速已經玩到像威寶3G時代的13M...,限速/VA 稠密/VH 有/V_2 覺得/VK 限速/VA 玩/VC
155,這週亞太優惠$88 8G 超過流量限速3m還錯，家人已辦,優惠/VJ 超過/VJ 限速/VA 錯/VH 辦/VC
156,勿忘499之亂「反中華電信其中一個原因」,忘/VK 亂/VH 反/VC
157,我的網路沒了才一天而已有夠少 ,沒/VJ
158,遠傳說的都是鬼話,遠傳/VH 說/VE
159,中華電信怎麼才給5Gb,給/VD
160,中華電信幫幫忙好不好,幫幫忙/VA 好/VH 好/VH
161,用mod比itunes還順,
162,生活圈跟住家台北是遠傳比較好高雄則是台星,好/VH
163,pi幣拿去折抵中華電信月租費也蠻划算的,拿去/VC 折抵/VC 划算/VH
164,就直接跟臺哥說掰掰吧，去中華去遠傳什麼都好,直接/VH 說/VE 去/VCL 去/VCL 好/VH
165,敲碗等中華,敲/VC
166,中華電信真的好，，合約到期趕緊移回中華電信，，不想再當冤大頭了。。。,好/VH 到期/VH 移回/VC 想/VE 當/VG
167,台哥大 今晚好一點 十場斷一兩場,好一點/VH 斷/VHC
168,中華電信再忽視老用戶就決定跳槽了,忽視/VJ 老/VH 決定/VE 跳槽/VA
169,我只想問中華電信，無法電話取消只能臨櫃辦 理，那為何門市一通電話就能綁定？,想/VE 問/VE 取消/VC 臨櫃/VA 辦/VC  理/VC 綁定/VC
170,會 如此 爛, 爛/VH
171,不但一樣資費原本內容以外的優惠有增加更多優惠給顧客還沒有調漲呢！原本網外通話增加免費以外吃到飽的部分都沒有變,一樣/VH 優惠/VJ 有/V_2 增加/VHC 優惠/VJ 調漲/VC 通話/VB 增加/VHC 免費/VH 吃/VC 飽/VH 沒有/VJ 變/VG
172,老客戶都不友善,老/VH 友善/VH
173,friday影音,
174,我家實在不行,不行/VH
175,白天大約30m 晚上會自動減速 慢到1m不到 然後 台星白天20m 晚上也大約15-20m左右 我是在我家測的...我之後 打死不辦台哥,自動/VH 減速/VA 慢/VH 不/VJ 測/VC 打死/VC 辦/VC
176,中華>遠傳>台哥大>台星,
177,除了中華 誰還要再NP回來,NP/VA 回來/VA
178,超過以後10M比起以前辦的中華超盤學生專案5xx好多了每個月5G 降速還只有128kps 連line都打不出去,超過/VJ 辦/VC 好/VH 降速/VHC 有/V_2 打/VC 出去/VC
179,都破200，到現在還有很多家10幾M,破/VC 有/V_2
180,YT順順看,順順/VH 看/VC
181,通信約第一年388就給網路吃到飽了,通信/VA 約/VC 給/VD 吃/VC 飽/VH
182,真的只有87才會用,用/VC
183,中華就不能對老客戶好一點就一付不想理的樣子,老/VH 好/VH 想/VE 理/VC
184,期限快到前他會叫你打電話給別人來延長門號使用期限,到/VCL 叫/VF 打電話/VB 延長/VC
185,手機費從破千變299,破千/VC 變/VG
186,都跑不動,跑不動/VH
187,中華跟台星都跑不動,跑不動/VH
188,逼你換5G就跟當年ADSL降速逼你換光纖一樣,逼/VF 換/VC 降速/VB 逼/VF 換/VC 一樣/VH
189,兩家的速度都不如中華和遠傳，,不如/VJ
190,也能認真一點別老是不把老客戶當成一回事,認真/VH 老/VH 當成/VG
191,整體屌打其他家,
192,偷盡速到受不了,偷/VC 速/VH 受不了/VK
193,我最後也是違約金付了,付/VD
194,還有299無限速吃到飽,有/V_2 無/VH 吃到飽/VC
195,下課下班之後都會這樣，太多人用了,下課/VH 下班/VH 這樣/VH 用/VC
196,原本一個月799元只有9GB流量，現在換成699吃到飽不限速，感覺很爽！[emo13],有/V_2 換成/VG 吃/VC 飽/VH 限速/VJ 感覺/VK 爽/VH
197, 亞太還是比台星好 ^_^,好/VH
198,堂姐說在中華辦吃到飽 手機八千有找，讓超心動der…,說/VE 辦/VC 吃到/VC 飽/VH 有/V_2 找/VC 讓/VL 超/VJ 心動/VI
199,再不然就是選中華4G,選/VC
200,我是覺得有送不少通話的中華不限速吃到飽488-499很極限了,覺得/VK 有/V_2 送/VD 通話/VB 限速/VJ 吃到/VC 飽/VH
201,最近也在考慮要用遠傳還是種花的，不過最近5G剛開臺，4G網路都有點變慢的感覺,考慮/VE 用/VC 種花/VA 開/VA 變慢/VH
202,隔壁的人用台星還比我用的中華順,用/VC
203,只有遠傳 沒有訊號,沒有/VJ
204,中華>遠傳>>>>>>>>台哥,
205,我在臺中速度也超慢,慢/VH
206,可是我中華最近也很卡欸,卡/VH
207,跳中華換穏定,跳/VA 換/VC
208,中華電信不考慮,考慮/VE
209,中華跳台哥大再跳遠傳，我推台哥大,跳/VA 遠傳/VD 推/VC
210,-只有遠傳 沒有訊號-,遠傳/VH 沒有/VJ
211,用過亞太 你就知道三大的好呵呵亞太連電話都打不通,用/VC 知道/VK 大/VH 好/VH 打/VC 通/VC
212,亞太真的台灣之星以下，連調侃都懶w,調侃/VC 懶/VH
213,台灣之星反正訊號都很爛 不如選個便宜的,爛/VH 選/VC 便宜/VH
214,攜碼學專 688(30) 是最優選,攜/VC
215, 中華電信跟台哥大都有販售華為通訊設備的前科,有/V_2 販售/VD
216, 中華電信跟台哥大都有販售華為通訊設備的前科,有/V_2 販售/VD
217, 遠傳最近LM評價不錯的樣子,不錯/VH
218,我中華都很順,順/VH
219,你有考慮到用亞太的心聲嗎,考慮到/VE
220,快被中華氣死==,氣死/VHC
221,中華電信只給我一年免費的VOWiFi打發我了事 操 然後我家沒固網 操,給/VD 免費/VH 打發/VC 了事/VA 操/VC 沒/VJ 操/VC
222,不限速可是我續約之後都覺得很慢...,限速/VJ 續約/VA 覺得/VK 慢/VH
223,"連玩coin master都會斷線的電信我真的不知道要說什
麼",玩/VC 斷線/VH 知道/VK 說/VE
224,"每家都有表現差的狀況，就是看環境適合誰囉，我生
活圈台哥就是順",有/V_2 表現/VC 差/VH 看/VE 適合/VH 生/VC 順/VJ
225,純噓台哥,純/VH 噓/VC
226,台哥能拿???狗屎都能吃了,拿/VC 吃/VC
227,"不過遠傳這次拿雙冠真的
有讓人刮目相看",拿/VC 有/V_2 讓/VL 刮目相看/VB
228,"中華電信5G有在建設？？出門連到5G的機會還是不到1/
10",有/V_2 建設/VC 出門/VA 不/VJ 到/VCL
229,台哥,
230,身為台哥大用戶看到台哥也有獎就知道這分析八成笑話,身為/VG 看到/VE 有/V_2 知道/VK 分析/VC
231,遠傳真的屌打中華大家趕快跳槽中華辦遠傳,跳槽/VA 辦/VC
232,最近遠傳是不是故意降速啊…想誘導大家換5G?,故意/VL 降速/VHC 想/VE 誘導/VC 換/VC
233,我也收到了，只是要綁33個月有點久,收到/VC 綁/VC 久/VH
234,靠！市話縮水,靠/VJ 縮水/VH
235,這個方案很優了阿 ,優/VH
236,之前都0.5 1% 用hami導購都比line好 XD,導購/VC 好/VH
237, 如果你沒有信用卡可以分期， 你就把門號辦理1399簽約48個月，讓您的負擔降低輕鬆擁有iPhone 12！！ 中華電信，一直走在最前面！！ 真的讚！,沒有/VJ 辦理/VC 簽約/VA 讓/VL 負擔/VC 降低/VHC 輕鬆/VH 擁有/VJ 走/VA 讚/VH
238,中華山下頗慢,慢/VH
239,台星山上山下都快,
240,我自己是用台星我覺得蠻夠用的阿我還可以開分享給用中華的室友,覺得/VK 夠/VH 用/VC 開/VC 分享/VJ 給/VD 用/VC
241,台星算不錯了啊 ,算/VG 不錯/VH
242,以前用遠傳真的爛爆,遠傳/VH 爛爆/VH
243,台哥大就好啦,好/VH
244,"Fox+美劇 「毒雪紛飛」 第一季缺第2集，我看這邊都回覆叫人通報中華800客服，但打去800客服又說請聯絡fox,問題 fox又公告請聯絡中華電信，到底要怎麼辦阿？？？",毒/VH 紛飛/VH 缺/VJ 看/VE 回覆/VD 叫/VF 通報/VE 打去/VC 說/VE 請/VF 聯絡/VC 公告/VE 請/VF 聯絡/VC 怎麼辦/VH
245,把好好的app搞成這付鬼樣,好好/VH 搞成/VG
246,亞太 無收訊 沒網路 再便宜也無用--,收訊/VA 沒/VJ 便宜/VH 無用/VH
247,本人今年9月去中華辨1399元5g方案，可是一直沒有5g可以用；去問客服一直要我等。一定會有5g去門市問說年底就會有了在 新竹的湖口工業區，問800客服說要等3年到底那個準；用5g資費卻只有4g的網路，朋友叫我去消保官申訴。請問有用嗎？本人是 在新竹湖口，新竹市和竹北市也有都了。本來家中的巷口有5g，最近又沒有了；繳心酸的,去/VCL 辨/VC 沒有/VJ 用/VC 問/VE 等/VC 有/V_2 去/VCL 問/VE 說/VE 有/V_2 問/VE 說/VE 等/VC 準/VH 有/V_2 叫/VF 去/VCL 申訴/VE 請問/VE 有用/VH 有/V_2 有/V_2 沒有/VJ 繳/VD 心酸/VH
248,吃到飽的有點貴誒,吃/VC 飽/VH 貴/VH
249,看的資費方案後，還是續用4G吧。費率京人還要換手機，開銷不小。,看/VC 換/VC 小/VH
250,太貴了吧,貴/VH
251,中華對一些五百元內客戶不是很看重,看重/VJ
252,中華最近是怎麼了，上禮拜在家手機網速有80m，這禮拜變20m,怎麼/VH 有/V_2 變/VG
253,怪不得我用家裡的電腦開不了推特（或開了看不到圖），但用手機（無框）上網就可以暢滑無阻，原來是中華電信的問題嗎！,開不了/VC 開/VC 看/VC 到/VC 無框/VJ 上網/VA 暢滑/VH 無阻/VH
254,遠傳最快,快/VH
255,看了一下這個方案 選擇蠻多元的耶 還有禮券能搭配換算下來頗划算的,看/VC 選擇/VC 多元/VH 有/V_2 搭配/VC 換算/VC 划算/VH
