construction,example1,score,example2,score,example3,score,example4,score,example5,score,average_score
\b\w+根本\w{2}\b,['訊號根本沒用',1,但是要出國跟那些重量級的打根本搞笑',1,或是根本跑動',3,但是回來後看售價根本被坑',1,穩定度根本悲劇'],1,1.4
\b\w+被當盤子\w*\b,['我4不4被當盤子了',1,到底是本人覺得被當盤子賺',3,腳麻被當盤子',1,只是被當盤子而已',1,買舊機的朋友不用再被當盤子'],1,1.4
(真的)?有夠\w+的?\b,['有夠難看',1,有夠大昨天有小豬說台廠已經出局',3,有夠爛的遠傳',1,有夠麻煩其他平台都有',1,有夠爛的中華電信'],1,1.4
\b\w+(掰|bye)了,['line帳號就掰了',1,彰銀my樂應該真的掰了',3,新增消費5000門檻就bye了',1,有前綴代扣字樣就bye了',1,就等四月合約到期可以掰了'],1,1.4
我也是\w+啦,['我也是醉了啦',1,我也是繼續用啦',2,我也是不太懂啦',2,我也是熊熊看到慢慢等一定會遇到的啦',2,我也是啼笑皆非啦'],1,1.6
\b\w+(的|得)要死,['訊號爛的要死',1,結果最近網路慢的要死',1,客服人員態度還差得要死',1,笑死晚上看影片卡的要死',1,我人現在在台北順的要死'],5,1.8
也太\w+了?吧?\b,['也太詭異了吧',2,也太有自信',2,也太奢侈了吧',2,也太貴了',1,也太慘了吧xddd'],2,1.8
\b\w+到\w*炸了?,['台星真心榮登我心目中最爛爛爛爛到爆炸',1,其他鈴聲app都是多到爆炸',5,亞太真的不要用爛到炸',1,請問有人也是台灣大哥大的嗎最近網路真的是慢到一個爆炸',1,但網路塞到炸'],1,1.8
\b\w+雞肋,['非常的雞肋',1,我當初挑手機也有設定這條件但後來發現有點雞肋',2,只是現在是雞肋',2,沒使用上網吃到飽的費率根本在5g應用上就變得雞肋',2,pi掃碼功能其實很雞肋'],2,1.8
八成\w+\b,['八成蠻適合習慣看第四台的人',3,八成是app有要求業務下載量y',2,八成人口涵蓋率',3,八成又是有貪婪的人想要賺租金',1,八成用一堆n28撐5g涵蓋吧'],1,2
勿忘\w+\b,['勿忘記亞太是以電信服務為主的公司',3,勿忘iphone',3,勿忘黑心頂新',1,勿忘499之亂'],1,,,2
\b三不五時就\w+\b,['三不五時就看到授權商在半價換電池之類的',3,三不五時就有要你續約較高資費但可降速吃到飽的廣告',2,三不五時就要求重新輸入密碼',1,三不五時就斷',1,三不五時就有人說是台星的金援'],3,2
越來越\w\b,['越來越少',1,越來越涼',3,越來越塞',1,越來越難',3,越來越冷'],3,2.2
\b\w+給力\b,['要怪就怪電信三雄自己不給力',1,如果可以用自己的網路還寧願用自己的網路偏偏地下室自己的網路不給力',1,中華整體訊號夠給力',4,遠傳5g超給力',5,或者電池不給力'],1,2.4
誰\w誰\w+\b,['誰選誰後悔',1,誰留誰走',3,誰怕誰跑掉不過做做樣子罷',2,誰賺誰的錢',3,誰強誰弱'],3,2.4
坐等\w+\b,['坐等資費表',3,坐等中華跟進',3,坐等加一門94的簡訊',3,坐等499之亂',1,坐等11元5g吃到飽'],3,2.6
\b\w到爆\w?\b,['鳥到爆',1,爛到爆啊',1,強到爆',5,殺到爆',5,幹到爆'],1,2.6
(置|拉)板凳等\w+\b,['拉板凳等中華',3,置板凳等後續'],3,,,,,,,3
(對\w+)?一點(都|也)不\w+\b,['一點都不受影響',3,一點都不想再多花400元呢',2,一點都不奇怪啊',3,一點都不會後悔',4,一點也不過分'],3,3
\w+就贏了,['最新iphone免費這對那些人是很有吸引力的免費就贏了',3,最高只有35m的話4g的速度就贏了',3,這樣他就贏了',3,品牌靠行銷廣告就贏了',3,要看這一年內哪家業者可以建置越多的基地台誰就贏了'],3,3
敲碗等\w+\b,['敲碗等新機',3,敲碗等中華5g',3,敲碗等中華iphone12購機優惠方案',4,敲碗等中華',3,敲碗等待中'],3,3.2
直接\w+了\b,['直接出來了',3,直接去下載大檔案就可以看出有沒有被降速了',3,直接新辦就好了',3,直接開好了',3,直接在官網開放499吃到飽了'],4,3.2
真的有\w+到\b,['真的有讓我嚇到',3,真的有貴到',1,真的有辦到的人賺到',5,真的有佛到',5,真的有那麼多閒人可以湊到'],3,3.4
(很|也)夠\w+了\b,['也夠打94分鐘了',4,也夠鄉下了',2,也夠我用了',4,很夠很夠用了',5,很夠力了'],4,3.8
很可以\w*,['很可以欸',4,很可以了',4,很可以接受耶',4,很可以哦',4,很可以的'],4,4
\b\w+屌打\w+\b,['note10lite相機屌打se2的地方',4,幣倍屌打啊',5,我看台灣之星跟中華都屌打遠傳跟台哥',4,4g各頻道設備架好架滿就屌打5g了',5,抱歉喔最近台哥網速屌打中華'],4,4.4
