,context,closed_class
55,打電話去中華電信 客服看她們有什麼方案？第一個客服說她看不到我過去幾個月的用量，直接建議我用999方案。我問她有沒有便宜一點的？她說有79 9。我打去台灣大哥大客服，她們直接說499不降速。會馬上請客服吧Sim卡和合約書用黑貓寄給我。 我又打回中華電信看有沒有 得商量，她說要請示主管。一小時後有人打來了，中華電信給20年VIP老客戶最好的方案是599，然後再談她說可以再送第一年每 月100元通話費.....第二年呢？她說抱歉了...吃定老客戶的忠誠度！ 大家一起Bye bye吧中華電信...., 　 ？　 不　 的　 ，　 用　 。　 沒有　 一點　 的　 ？　 。　 ，　 不　 。　 會　 馬上　 吧　 Sim卡　 和　 用　 。　  　 又　 沒有　  　 得　 ，　 要　 。　 了　 ，　 VIP　 最　 的　 是　 ，　 然後　 再　 可以　 再　  　 ....　 .　 呢　 ？　 了　 ..　 .　 的　 ！　  　 一起　 Bye　  bye　 吧　 ...　 .　
56,才$499吃到飽不降速你就滿足囉~~~那如果你知道台哥大遠傳已經很多$299吃到飽不降速不知道作何感想~~~,才　 不　 就　 囉　 ~~~　 那　 如果　 已經　 不　 不　 ~~~　
57,才$499吃到飽不降速你就滿足囉~~~那如果你知道台哥大遠傳已經很多$299吃到飽不降速不知道作何感想~~~,才　 不　 就　 囉　 ~~~　 那　 如果　 已經　 不　 不　 ~~~　
58,中華的主力應該都是軍公教吧 它們只有軍公教專案，其他才不鳥你咧,的　 應該　 都　 是　 吧　  　 只　 ，　 才　 不　 咧　
59,為什麼你會覺得台哥大499吃到飽算很便宜🤔🤔,為什麼　 會　 很　 🤔　 🤔　
60,收不到訊號，給你吃到撐也沒用。 ,不　 ，　 給　 到　 也　 。　  　
61,收不到訊號，給你吃到撐也沒用。,不　 ，　 給　 到　 也　 。　
62,到幾年前3G要升級成4G時；同樣1G流量的合約， 新申辦/攜碼只要299；我老客戶硬是要399！ 打電話去溝通了很久最後才幫我減免成333，從那次後我就開始跳來跳去。 之前我直接在門市跟店員說：「反正老客戶就是廢物，永遠比不上新客戶。」 店員直接說不出話。想了很久才擠出：「可是老客戶免高額預繳金啊！」 我直接跟他說：「我手機都買空機了，有什麼預繳金要繳！」 當時真的覺得這個市場都有病！ ,到　 要　 ；　 同樣　 的　 ，　  　 新　 /　 只要　 ；　 硬是　 ！　  　 去　 了　 很　 才　 幫　 ，　 從　 就　 。　  　 在　 跟　 ：　 「　 反正　 就　 是　 ，　 永遠　 。　 」　  　 不　 。　 了　 很　 才　 ：　 「　 可是　 啊　 ！　 」　  　 跟　 ：　 「　 都　 了　 ，　 要　 ！　 」　  　 真的　 都　 ！　  　
63,先別急著續約中華499我相 信台哥大與遠傳肯定會對價格出奇招! ,先　 別　 著　 相　  信　 與　 會　 對　 !　  　
64,遠傳卡好幾個月了,了　
65,"但必須每6個月儲值1 00才能保留續用,而且出國還沒辦法漫游","但　 必須　 才　 能　 ,　 而且　 還　"
66,不限速的4G都做不到,不　 的　 都　 不　
67,永遠都不會達到標準值，當初4G也是這樣吹牛B ,永遠　 都　 不會　 ，　 也　 是　 B　  　
68,"中華電信山區訊號一定收的到是誰傳的謠言?2g訊號嗎? 早就廢除了,不用神話中華電信了! ","一定　 的　 是　 的　 ?　 嗎　 ?　  　 早　 就　 了　 ,　 不用　 了　 !　  　"
69,只有遠傳，才有距離！ ,只有　 ，　 才　 ！　  　
70,競標是市場機制，收費就變成不是了。還是亞太聰明，專攻通話，4G上網就好,是　 ，　 就　 是　 了　 。　 還是　 ，　 ，　 就　
71,推遠傳，中華 其他跟屎一樣 ,，　  　 跟　  　
72,每次都感應不到哈哈 車長最後都直 (接想說我算了) 接想說我算了 ,都　 不　 到　 哈哈　  　 都　  　 (　 )　  　 接　  　
73,菁英版升級10之後感覺問題好多，700mh z似乎也被鎖起來了...除了台星跟中華沒影響之外其他電信都很大,，　 mh z　 似乎　 也　 被　 起來　 了　 ..　 .　 除了　 跟　 沒　 都　 很　
74,七堵泰安區訊號很差還好有中華電信的網路分享 ,很　 還好　 的　  　
75,我天天看著她對手機咆哮,天天　 著　 對　
76,看臉書卡.LINE也卡.看Youtube更卡.反應也沒效果,.　 LINE　 也　 .　 Youtube　 更　 .　 也　
77,不到2 秒就載入完成。雖然沒有算的那麼精準啦🤣不過真的有感提升！,到　 就　 。　 雖然　 沒有　 的　 那麼　 啦　 🤣　 不過　 真的　 ！　
78,眾網友表示︰山腳下找找看？ ,︰　 看　 ？　  　
79, 眾網友表示︰山腳下找找看？ , 眾　 ︰　 看　 ？　  　
80,如意卡門號辦了十幾年。好康完全用不到。 ,了　 。　 完全　 不　 。　  　
81,中華跟台星組合可說我常去山區運動沒遇到沒收迅的 ,跟　 可　 常　 沒　 沒　 的　  　
82,中華配上台星不怕遇到沒收迅 ,不　 迅　  　
83,選擇遠傳下場就是『只有遠傳沒有訊號』！ ,就　 是　 『　 只有　 』　 ！　  　
84,修得快好過沒修 ,得　 沒　  　
85,盤子軍團,
86,中華除非辦愛鳳不然真的很盤,除非　 不然　 真的　 很　
87,台哥跟中華我覺得有用心在用啦，其他家...不知道 ,跟　 在　 啦　 ，　 ...　 不　  　
88,469限速吃到飽就滿夠用了 ,到　 就　 了　  　
89,以前爆幹快但最近有點慢,但　 有點　
90,帶你龜速上山下海,
91,都市之中.台灣之星已足以擺平矣!! ,.　 之　 已　 矣　 !　 !　  　
92,哪裡平均不錯?可以告訴我嗎?,?　 可以　 嗎　 ?　
93,一向給人感覺良好，，就是沒什麼優惠促銷活動。。。 ,一向　 ，　 ，　 就是　 。　 。　 。　  　
94, 他還嘴我的手機要換的，--馬的--, 　 的　 要　 的　 ，　 --　 馬的　 --　
95,同時，旁邊的一位年輕人 一坐下就直接說：「我在網路上看到你們488的方案，你們有首年-50跟專員推薦嗎？」接著就是專員的打太極，表明沒有之後他就 離開了，大概去下一間跑大地吧xd旁邊的男經理看他一出去馬上就跟專員小姐說：「阿你在網路上看到388你不會在網路上辦喔？」 老實說還有其他客人在的情況下講這麼大聲我覺得觀感挺不好的，畢竟那個年輕人態度也沒有很差。,，　 的　  　 一　 就　 ：　 「　 在　 的　 ，　 -50　 跟　 嗎　 ？　 」　 接著　 就　 是　 的　 ，　 就　  　 了　 ，　 大概　 去　 吧　 xd　 的　 一　 馬上　 就　 跟　 ：　 「　 在　 不會　 在　 喔　 ？　 」　  　 老實說　 還　 的　 這麼　 挺　 不　 的　 ，　 畢竟　 也　 沒有　 很　 。　
96,中華很順 ,很　  　
97,還是中華電信好，，大廠牌有保障，，不像遠傳,還是　 ，　 ，　 ，　 ，　 不　 像　
98,"要上網就是中華,","要　 就　 是　 ,　"
99,結果中華客服的回覆是︰有請工程師去檢測附近訊號，訊號正常。然後就沒下落了。 ,結果　 的　 是　 ︰　 有　 去　 ，　 。　 然後　 就　 了　 。　  　
100,你覺得亞太的全速能跟中華的全速比,的　 能　 跟　 的　 比　
101,如果市話打很多的話，可以加 辦市話好便宜，月租99元，市話每3分鐘1.3元,如果　 的話　 ，　 可以　  　 好　 ，　 ，　
102,我要謹記4G教訓不付5G的錢然後連2G都收不到。中華遠傳跟台哥大都一樣更不用講一堆什麼亞太之類的。,要　 不　 的　 然後　 都　 不　 。　 跟　 都　 更　 不用　 之類　 的　 。　
103,網路真的掛了，好在我還有台星,真的　 了　 ，　 好在　 還　
104,亞太11啊,啊　
105,亞太11,
106,亞太加購$30那個,
107,預付卡去台哥大,
108,選擇中華預付卡，也是著 眼於收訊，以及網内用户多。,，　 也　 是　 於　 ，　 以及　 。　
109,中華很貝戈戈的地方：都吃到飽了誰還會用WIFI…,很　 的　 ：　 都　 到　 了　 還　 會　 WIFI…　
110,"聽說遠傳跟台 灣大哥大山區還是遠遜中華,","跟　 還是　 遠　 ,　"
111,下次看到一定通知刁民們一起去拆掉！中華、遠傳，蓋一座拆一座,一定　 一起　 去　 ！　 、　 ，　
112,在台中，遠傳超過100mbps的地點也就市中心而已，哪裡容易,在　 ，　 mbps　 的　 也　 就　 而已　 ，　
113,在 iPadOS 寫 video app 但不支援 airplay + apple tv 是否很難？因為 Hami Video 做到啦~😬,在　  iPad　 OS 　  video　  app 　 但　 不　  airplay　  + apple　  tv 　 是否　 很　 ？　 因為　  Hami　  　 Video　  　 啦　 ~　 😬　
114,台哥大正在穩定下滑中,正在　
115,好多了,了　
116,爛 只想用人家建設好的 不想花錢 種花好多了,只　 用　 的　  　 不　  　 了　
117,我中華電信也是 晚上就慢,也　 是　  　 就　
118,家中或室內上網還是以固網品質最為穩定，所以我是家裡用光世代，外出才用中華行動上網,或　 還是　 以　 最為　 ，　 所以　 是　 ，　 才　 用　
119,同一支手機在萬華家跟樹林公司訊號，比之前的台哥大好很多，家 裡的亞太都比台哥大好，在家台灣之星也不好。,在　 跟　 ，　 比　 的　 ，　 的　 都　 比　 ，　 在　 之　 也　 不　 。　
120,但如果中華電信收訊差，其他電訊也不會好到哪裡，總之使用體 驗還是不錯的。,但　 如果　 ，　 也　 不會　 到　 ，　 總之　 還是　 的　 。　
121,中華最近間歇性斷網有感+1,
122,我OK，你先辦~~ 5G暫時沒鳥用，只有嘗鮮的人炫耀用的,OK　 ，　 先　 ~~ 5G　 暫時　 ，　 只有　 的　 的　
123,……都一樣價錢的話 看也知道選中華,……　 都　 的話　  　 也　
124,之前用FOX+到決賽都卡死 希望限中華後好點,用　 FOX+　 到　 都　  　
125,都是陰謀啦! 當中華調高資費時其他電信一起跟進，等中華賺飽了，又降資費跟同行廝殺，在哪裡喊沒賺錢，根本就是他賺最多,都　 是　 啦　 !　  　 當　 一起　 ，　 等　 了　 ，　 又　 跟　 ，　 在　 沒　 ，　 根本　 就　 是　
126,誰敢辦台星我一個一個抓出來,
127,台哥大捷運沒有+1，種花好一些,，　
128,種花最近感覺滿種花的耶,滿　 的　 耶　
129,種花感覺好兩極,
130,我家手機一個中華一個遠傳，都還是超慢= =,，　 都　 還是　 超慢　 = 　 =　
131,用過台灣跟遠傳就會知道中華有多好,過　 跟　 就　 會　 多　
132,要求網速可以換遠傳 想撿便宜可以續約台哥,可以　 可以　
133,亞太真的值得499月費嗎，基地台建的不多，感覺168不限速也太貴，要辦499感覺中華比較值得，遠傳辦211就夠了,真的　 嗎　 ，　 的　 不　 ，　 不　 也　 太　 ，　 要　 比較　 ，　 就　 了　
134,這個看起來倒像488的升級版，還有購機折價，感 覺挺划算的。,看起來　 倒　 的　 ，　 還　 ，　 挺　 的　 。　
135,在福澳港及介壽村等人多密集區，台星上網及打電話都是很順暢的。除非到一般南竿比較偏僻的地方，才會有收 訊不良情況發生,在　 及　 等　 ，　 及　 都　 是　 很　 的　 。　 除非　 比較　 的　 ，　 才　 會　
136,台哥設備用的比遠傳差,的　 比　
137,但是台哥大既沒有中華廣泛的基地台，也沒有兩小電信的高CP值，遠傳至少還有LM 可以在雙11出來應戰,但是　 既　 的　 ，　 也　 的　 ，　 至少　 還　 LM 　 可以　 在　
138,至於遠傳跟台哥大......從2014年進4G時代起就從來沒用過了==收訊沒中華好，促案沒二小殺,至於　 跟　 ......　 從　 就　 從來　 沒　 過　 了　 ==　 ，　
139,網路品質來說中華>遠傳>Others,來　 >　 >Others　
140,以資費 來說亞太>台星>Others,以　  　 來　 >　 >Others　
141,整體平衡我會首選中華再不然撿便宜也是台星台哥就不上不下沒有便宜也沒有品質，整個很糟糕,會　 首選　 再不然　 也　 是　 就　 也　 ，　 很　
142,可惜話術太差 輸台哥大好幾年 高階機分潤越來越差 中華都不主打哀鳳了,太　  　  　 越來越　  　 都　 不　 了　
143,中華電信的店員用服務贏了一個用戶,的　 用　 了　
144,中華穩定，但是貴,，　 但是　
145,之前用過台灣之星4G，到期立馬換回中華,過　 之　 G　 ，　 立馬　
146,約一到 一定要換中華電信,約　 到　  　 一定　 要　
147,之前中華有時候會收不到，現在遠傳還算穩定,有時候　 會　 不　 ，　 還　
148,用中華，打遊戲看影片都很順暢!,用　 ，　 都　 很　 !　
149,3GB以內用量 亞太11都很適合 而且他的流 量包沒用完還可以延遞一次 如果你真的要選亞太99而那你不如NP台哥大新朋友, 　 都　 很　  　 而且　 的　 沒　 還可以　  　 如果　 真的　 要　 而　 那　 NP　
150,亞太這時間點不是 11 就是 88 吧，怎麼會考慮 99,不　 是　 就　 是　 吧　 ，　 怎麼　 會　  99　
151,補上一堆新號碼可選，啊～手好癢！哈～,可　 ，　 啊　 ～　 好　 ！　 哈　 ～　
152,台星的可以 其他的就算了,的　 可以　  　 的　 就　 了　
153,只選市區台星188&88，郊區LM111,只　 &88　 ，　 LM111　
154,台星188不限速，人口稠密的市區CA後下行只有37M... 我覺得台星不限速已經玩到像威寶3G時代的13M...,不　 ，　 的　 CA　 只　 M...　  　 不　 已經　 到　 像　 的　 M..　 .　
155,這週亞太優惠$88 8G 超過流量限速3m還錯，家人已辦,G 　 m　 還　 ，　 已　
156,勿忘499之亂「反中華電信其中一個原因」,勿　 之　 「　 」　
157,我的網路沒了才一天而已有夠少 ,的　 了　 才　 而已　 有夠少　  　
158,遠傳說的都是鬼話,的　 都　 是　
159,中華電信怎麼才給5Gb,怎麼　 才　
160,中華電信幫幫忙好不好,不　
161,用mod比itunes還順,用　 mod　 比　 itunes　 還　 順　
162,生活圈跟住家台北是遠傳比較好高雄則是台星,跟　 是　 比較　 則　 是　
163,pi幣拿去折抵中華電信月租費也蠻划算的,pi幣　 也　 蠻　 的　
164,就直接跟臺哥說掰掰吧，去中華去遠傳什麼都好,就　 跟　 掰掰　 吧　 ，　 都　
165,敲碗等中華,等　
166,中華電信真的好，，合約到期趕緊移回中華電信，，不想再當冤大頭了。。。,真的　 ，　 ，　 趕緊　 ，　 ，　 不　 再　 了　 。　 。　 。　
167,台哥大 今晚好一點 十場斷一兩場, 　  　
168,中華電信再忽視老用戶就決定跳槽了,再　 就　 了　
169,我只想問中華電信，無法電話取消只能臨櫃辦 理，那為何門市一通電話就能綁定？,只　 ，　 無法　 只　 能　 ，　 那　 為何　 就　 能　 ？　
170,會 如此 爛,會　  　 如此　
171,不但一樣資費原本內容以外的優惠有增加更多優惠給顧客還沒有調漲呢！原本網外通話增加免費以外吃到飽的部分都沒有變,不但　 原本　 的　 給　 還　 沒有　 呢　 ！　 原本　 到　 的　 都　
172,老客戶都不友善,都　 不　
173,friday影音,friday　
174,我家實在不行,實在　
175,白天大約30m 晚上會自動減速 慢到1m不到 然後 台星白天20m 晚上也大約15-20m左右 我是在我家測的...我之後 打死不辦台哥,大約　 m 　 會　  　 到　 m　 到　  　 然後　  　 m 　 也　 大約　 -　 m　  　 是　 在　 的　 ...　  　 不　
176,中華>遠傳>台哥大>台星,>　 >　 >　
177,除了中華 誰還要再NP回來,除了　  　 還要　 再　
178,超過以後10M比起以前辦的中華超盤學生專案5xx好多了每個月5G 降速還只有128kps 連line都打不出去,比起　 的　 了　 5G 　 還　 只　 kps　  　 連　 line　 都　 不　
179,都破200，到現在還有很多家10幾M,都　 ，　 到　 還　 M　
180,YT順順看,YT　
181,通信約第一年388就給網路吃到飽了,就　 到　 了　
182,真的只有87才會用,真的　 只有　 才　 會　
183,中華就不能對老客戶好一點就一付不想理的樣子,就　 不能　 對　 一點　 就　 不　 的　
184,期限快到前他會叫你打電話給別人來延長門號使用期限,快　 會　 給　 來　
185,手機費從破千變299,從　
186,都跑不動,都　
187,中華跟台星都跑不動,跟　 都　
188,逼你換5G就跟當年ADSL降速逼你換光纖一樣,就　 跟　 ADSL　
189,兩家的速度都不如中華和遠傳，,的　 都　 和　 ，　
190,也能認真一點別老是不把老客戶當成一回事,也　 能　 一點　 別　 老是　 不　 把　
191,整體屌打其他家,屌打　
192,偷盡速到受不了,盡　 到　
193,我最後也是違約金付了,也　 是　 了　
194,還有299無限速吃到飽,還　
195,下課下班之後都會這樣，太多人用了,都　 會　 ，　 了　
196,原本一個月799元只有9GB流量，現在換成699吃到飽不限速，感覺很爽！[emo13],原本　 只　 ，　 到　 不　 ，　 很　 ！　 [emo　 ]　
197, 亞太還是比台星好 ^_^, 　 還是　 比　  ^_^　
198,堂姐說在中華辦吃到飽 手機八千有找，讓超心動der…,在　  　 ，　 der　 …　
199,再不然就是選中華4G,再不然　 就是　 G　
200,我是覺得有送不少通話的中華不限速吃到飽488-499很極限了,是　 的　 不　 -　 很　 了　
201,最近也在考慮要用遠傳還是種花的，不過最近5G剛開臺，4G網路都有點變慢的感覺,也　 在　 要　 還是　 的　 ，　 不過　 剛　 ，　 都　 有點　 的　
202,隔壁的人用台星還比我用的中華順,的　 用　 還　 比　 的　
203,只有遠傳 沒有訊號,只有　  　
204,中華>遠傳>>>>>>>>台哥,>　 >>>>>>>>　
205,我在臺中速度也超慢,在　 也　 超　
206,可是我中華最近也很卡欸,可是　 也　 很　 欸　
207,跳中華換穏定,穏定　
208,中華電信不考慮,不　
209,中華跳台哥大再跳遠傳，我推台哥大,再　 ，　
210,-只有遠傳 沒有訊號-,-　 只有　  　 -　
211,用過亞太 你就知道三大的好呵呵亞太連電話都打不通,過　  　 就　 的　 呵呵　 連　 都　 不　
212,亞太真的台灣之星以下，連調侃都懶w,真的　 之　 ，　 連　 都　 w　
213,台灣之星反正訊號都很爛 不如選個便宜的,之　 反正　 都　 很　  　 不如　 的　
214,攜碼學專 688(30) 是最優選, 688　 (　 )　  　 是　 最　
215, 中華電信跟台哥大都有販售華為通訊設備的前科, 　 跟　 都　 的　
216, 中華電信跟台哥大都有販售華為通訊設備的前科, 　 跟　 都　 的　
217, 遠傳最近LM評價不錯的樣子, 　 LM　 的　
218,我中華都很順,都　 很　
219,你有考慮到用亞太的心聲嗎,有　 用　 的　 嗎　
220,快被中華氣死==,快　 被　 ==　
221,中華電信只給我一年免費的VOWiFi打發我了事 操 然後我家沒固網 操,只　 的　 VOWiFi　  　  　 然後　  　
222,不限速可是我續約之後都覺得很慢...,不　 可是　 都　 很　 ..　 .　
223,"連玩coin master都會斷線的電信我真的不知道要說什
麼",連　 coin　  master　 都　 會　 的　 真的　 不　 要　 麼　
224,"每家都有表現差的狀況，就是看環境適合誰囉，我生
活圈台哥就是順","都　 的　 ，　 就是　 囉　 ，　 
活圈　 就　 是　"
225,純噓台哥,
226,台哥能拿???狗屎都能吃了,能　 ?　 ?　 ?　 都　 能　 了　
227,"不過遠傳這次拿雙冠真的
有讓人刮目相看","不過　 真的　 
　"
228,"中華電信5G有在建設？？出門連到5G的機會還是不到1/
10",在　 ？　 ？　 連　 到　 的　 還是　
229,台哥,
230,身為台哥大用戶看到台哥也有獎就知道這分析八成笑話,也　 就　
231,遠傳真的屌打中華大家趕快跳槽中華辦遠傳,真　 的　 屌打　 趕快　
232,最近遠傳是不是故意降速啊…想誘導大家換5G?,是　 不　 是　 啊　 …　 5G　 ?　
233,我也收到了，只是要綁33個月有點久,也　 了　 ，　 只是　 要　 有點　
234,靠！市話縮水,！　
235,這個方案很優了阿 ,很　 了　 阿　  　
236,之前都0.5 1% 用hami導購都比line好 XD,都　  　 用　 hami　 都　 比　 line　  XD　
237, 如果你沒有信用卡可以分期， 你就把門號辦理1399簽約48個月，讓您的負擔降低輕鬆擁有iPhone 12！！ 中華電信，一直走在最前面！！ 真的讚！, 　 如果　 可以　 分期　 ，　  　 就　 把　 ，　 的　 iPhone　  12　 ！　 ！　  　 ，　 一直　 在　 ！　 ！　  　 真的　 ！　
238,中華山下頗慢,頗　
239,台星山上山下都快,都　 快　
240,我自己是用台星我覺得蠻夠用的阿我還可以開分享給用中華的室友,是　 用　 蠻　 的　 阿　 還可以　 的　
241,台星算不錯了啊 ,了　 啊　  　
242,以前用遠傳真的爛爆,用　 真　 的　
243,台哥大就好啦,就　 啦　
244,"Fox+美劇 「毒雪紛飛」 第一季缺第2集，我看這邊都回覆叫人通報中華800客服，但打去800客服又說請聯絡fox,問題 fox又公告請聯絡中華電信，到底要怎麼辦阿？？？","Fox+　  　 「　 」　  　 ，　 都　 ，　 但　 又　 fox　 ,　  fox　 又　 ，　 到底　 要　 阿　 ？　 ？　 ？　"
245,把好好的app搞成這付鬼樣,把　 的　 app　
246,亞太 無收訊 沒網路 再便宜也無用--, 　 無　  　  　 再　 也　 --　
247,本人今年9月去中華辨1399元5g方案，可是一直沒有5g可以用；去問客服一直要我等。一定會有5g去門市問說年底就會有了在 新竹的湖口工業區，問800客服說要等3年到底那個準；用5g資費卻只有4g的網路，朋友叫我去消保官申訴。請問有用嗎？本人是 在新竹湖口，新竹市和竹北市也有都了。本來家中的巷口有5g，最近又沒有了；繳心酸的,，　 可是　 一直　 可以　 ；　 去　 一直　 要　 。　 一定　 會　 就　 會　 了　 在　  　 的　 ，　 要　 到底　 ；　 用　 卻　 只　 的　 ，　 。　 嗎　 ？　 是　  　 在　 ，　 和　 也　 都　 了　 。　 本來　 的　 ，　 又　 了　 ；　 的　
248,吃到飽的有點貴誒,到　 的　 有點　 誒　
249,看的資費方案後，還是續用4G吧。費率京人還要換手機，開銷不小。,的　 ，　 還是　 續用　 G　 吧　 。　 還　 要　 ，　 不　 。　
250,太貴了吧,太　 了　 吧　
251,中華對一些五百元內客戶不是很看重,對　 不　 是　 很　
252,中華最近是怎麼了，上禮拜在家手機網速有80m，這禮拜變20m,是　 了　 ，　 在　 m　 ，　 m　
253,怪不得我用家裡的電腦開不了推特（或開了看不到圖），但用手機（無框）上網就可以暢滑無阻，原來是中華電信的問題嗎！,怪不得　 用　 的　 （　 或　 了　 不　 ）　 ，　 但　 用　 （　 ）　 就　 可以　 ，　 原來　 是　 的　 嗎　 ！　
254,遠傳最快,最　
255,看了一下這個方案 選擇蠻多元的耶 還有禮券能搭配換算下來頗划算的,了　  　 蠻　 的　 耶　  　 還　 能　 下來　 頗　 的　
256,不划算，家樂福禮券 6000，但是你 499 要綁 30個月，等於每月 299 送 500分鐘。 之前都已經有 299 送 1000分鐘了，這個方案有啥好辦的。 更不用說每月 299 送 500分鐘，只要 158 就辦得到了(二年約)，何必被綁更長的 30個月，然後價錢又要 299？,不　 ，　  6000　 ，　 但是　  499 　 要　  30　 ，　  299 　  500　 。　  　 都　 已經　  299　  　  1000　 了　 ，　 的　 。　  　 更　 不用說　  299　  　  500　 ，　 只要　  158 　 就　 得　 了　 (　 約　 )　 ，　 何必　 被　 更　 的　  30　 ，　 然後　 又　  299　 ？　
